word,meaning
aachen,a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
aardvark,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardvarks,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aaron,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934
ab,a bachelor's degree in arts and sciences
aba,a loose sleeveless outer garment made from aba cloth; worn by Arabs
ababa,not found
abaci,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
aback,Not found
abactor,not found
abactors,not found
abacus,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abacuses,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abaft,Not found
abalone,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abandon,the trait of lacking restraint or control; reckless freedom from inhibition or worry
abandoned,"forsake, leave behind"
abandonee,not found
abandonees,not found
abandoning,"forsake, leave behind"
abandonment,the act of giving something up
abandons,the trait of lacking restraint or control; reckless freedom from inhibition or worry
abase,cause to feel shame; hurt the pride of
abased,cause to feel shame; hurt the pride of
abasement,a low or downcast state
abases,cause to feel shame; hurt the pride of
abash,cause to be embarrassed; cause to feel self-conscious
abashed,cause to be embarrassed; cause to feel self-conscious
abashes,cause to be embarrassed; cause to feel self-conscious
abashing,cause to be embarrassed; cause to feel self-conscious
abasing,cause to feel shame; hurt the pride of
abatable,capable of being abated
abate,make less active or intense
abated,make less active or intense
abatement,an interruption in the intensity or amount of something
abatements,an interruption in the intensity or amount of something
abater,not found
abaters,not found
abates,make less active or intense
abating,make less active or intense
abator,a person who abates a nuisance
abators,a person who abates a nuisance
abattoir,a building where animals are butchered
abattoirs,a building where animals are butchered
abbacies,the jurisdiction or office of an abbot
abbacy,the jurisdiction or office of an abbot
abbess,the superior of a group of nuns
abbesses,the superior of a group of nuns
abbey,a church associated with a monastery or convent
abbeys,a church associated with a monastery or convent
abbot,the superior of an abbey of monks
abbots,the superior of an abbey of monks
abbotsbury,not found
abbott,not found
abbreviate,reduce in scope while retaining essential elements
abbreviated,reduce in scope while retaining essential elements
abbreviates,reduce in scope while retaining essential elements
abbreviating,reduce in scope while retaining essential elements
abbreviation,a shortened form of a word or phrase
abbreviations,a shortened form of a word or phrase
abbreviator,one who shortens or abridges or condenses a written work
abbreviators,one who shortens or abridges or condenses a written work
abc,the elementary stages of any subject (usually plural
abdicant,not found
abdicants,not found
abdicate,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdicated,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdicates,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdicating,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdication,a formal resignation and renunciation of powers
abdications,a formal resignation and renunciation of powers
abdicator,one who formally relinquishes an office or responsibility
abdicators,one who formally relinquishes an office or responsibility
abdomen,the region of the body of a vertebrate between the thorax and the pelvis
abdomenal,not found
abdomens,the region of the body of a vertebrate between the thorax and the pelvis
abdominal,the muscles of the abdomen
abdominally,not found
